,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
624,Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/307823657/,Москва,sale,flat,6,8,4,160.0,192000000.0,Пресненский,Малый Козихинский переулок,7,Пушкинская,
625,Villagio Moscow,real_estate_agent,https://www.cian.ru/sale/flat/309672117/,Москва,sale,flat,17,18,5,185.5,205000000.0,Свиблово,Сельскохозяйственная ,38к1,Ботанический сад,LIFE-Ботанический сад
626,ID 53674910,homeowner,https://www.cian.ru/sale/flat/307426466/,Москва,sale,flat,2,8,3,133.3,245000000.0,Раменки,Мосфильмовская ,1к4,Ломоносовский проспект,Вишневый сад
627,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306772108/,Москва,sale,flat,7,9,3,160.8,279506909.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
628,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/297946122/,Москва,sale,flat,4,12,4,212.0,325000000.0,Пресненский,Шведский тупик,3,Тверская,
629,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306265778/,Москва,sale,flat,7,7,4,273.0,370000000.0,Якиманка, Малая Полянка,2,Полянка,Онегин
630,WELHOME,real_estate_agent,https://www.cian.ru/sale/flat/308464613/,Москва,sale,flat,4,5,5,182.5,385000000.0,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал"
631,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300543381/,Москва,sale,flat,6,6,-1,556.4,400000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
632,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/305632294/,Москва,sale,flat,5,6,-1,375.0,412500000.0,Раменки,Минская ,2Вк3,Минская,Снегири Эко
633,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/309092127/,Москва,sale,flat,1,2,5,269.0,538000000.0,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал"
634,Алеся Лунина,realtor,https://www.cian.ru/sale/flat/308369353/,Москва,sale,flat,2,22,-1,16.7,8500000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
635,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307962802/,Москва,sale,flat,9,38,3,70.0,32000000.0,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой
636,Пионер,developer,https://www.cian.ru/sale/flat/303126551/,Москва,sale,flat,2,18,2,48.4,39917174.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT
637,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298976152/,Москва,sale,flat,5,12,3,74.4,49000000.0,Хамовники,Комсомольский проспект,45,Спортивная,
638,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302958205/,Москва,sale,flat,20,29,4,154.9,60900000.0,Якиманка,Мытная ,40к3,Шаболовская,Sky House
639,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062293/,Москва,sale,flat,4,5,3,73.7,68483450.0,Мещанский,Большой Сергиевский переулок,18,Трубная,
640,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/302016683/,Москва,sale,flat,3,18,4,136.0,71900000.0,Пресненский,Шмитовский проезд,20,Москва-Сити,Дом на Пресне
641,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301263000/,Москва,sale,flat,2,21,3,122.0,77250000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
642,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305968630/,Москва,sale,flat,10,12,3,103.0,80000000.0,Алексеевский,Новоалексеевская ,16К5,Алексеевская,Серебряный фонтан
643,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062348/,Москва,sale,flat,14,20,3,132.5,125000000.0,Гагаринский, Косыгина,13к1,Воробьёвы горы,Фамильный дом Воробьево
644,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306392868/,Москва,sale,flat,3,14,3,115.8,135000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
645,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/291309258/,Москва,sale,flat,7,8,5,162.7,185000000.0,Замоскворечье,Большая Татарская ,7к4,Новокузнецкая,Четыре солнца
646,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309350888/,Москва,sale,flat,19,21,4,138.62,187137000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
647,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309279534/,Москва,sale,flat,9,10,3,184.2,211830000.0,Якиманка, Малая Полянка,2,Полянка,Онегин
648,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/307602204/,Москва,sale,flat,9,10,3,184.2,211830000.0,Якиманка, Малая Полянка,2,Полянка,Онегин
649,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297685699/,Москва,sale,flat,2,6,-1,185.0,265500000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
650,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303290503/,Москва,sale,flat,7,9,3,160.8,282449087.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
651,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298148100/,Москва,sale,flat,4,9,4,202.0,300000000.0,Хамовники,Погодинская ,4,Фрунзенская,GRAND DELUXE на Плющихе
652,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/301184711/,Москва,sale,flat,5,15,-1,290.0,450000000.0,Хамовники,Олсуфьевский переулок,9С2,Фрунзенская,White Khamovniki
653,ID 103466348,real_estate_agent,https://www.cian.ru/sale/flat/307405935/,Москва,sale,flat,6,28,1,28.7,12100000.0,Даниловский,1-я оч.,к13,ЗИЛ,Shagal
654,Unique,real_estate_agent,https://www.cian.ru/sale/flat/303783084/,Москва,sale,flat,6,9,2,60.0,18500000.0,, Ясеневая,1к1,Ольховая,Дубровка
655,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307143899/,Москва,sale,flat,25,49,2,93.6,39500000.0,Проспект Вернадского, Лобачевского,,Проспект Вернадского,Событие
656,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309283093/,Москва,sale,flat,3,18,4,137.0,71900000.0,Пресненский,Шмитовский проезд,20,Москва-Сити,Дом на Пресне
657,Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/307477270/,Москва,sale,flat,5,6,3,92.4,75000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,
658,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303828250/,Москва,sale,flat,7,18,4,162.8,78000000.0,Ломоносовский, Архитектора Власова,6,Профсоюзная,Вавилово
659,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305151277/,Москва,sale,flat,5,5,5,133.0,87000000.0,Тверской,1-я Тверская-Ямская ,4,Маяковская,
660,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/295010560/,Москва,sale,flat,18,18,-1,345.0,99000000.0,Раменки,Мичуринский проспект,29,Раменки,
661,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309631916/,Москва,sale,flat,5,8,3,87.2,118000000.0,Таганский,Серебряническая набережная,11,Китай-город,Титул на Серебрянической
662,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300981764/,Москва,sale,flat,6,6,-1,295.0,175000000.0,Хамовники, Усачева,19АК1,Спортивная,
663,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309667524/,Москва,sale,flat,5,7,4,160.0,183000000.0,Якиманка, Большая Полянка,44,Полянка,Полянка/44
664,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/308419477/,Москва,sale,flat,6,8,3,146.5,192000000.0,Пресненский,Малый Козихинский переулок,7,Пушкинская,
665,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062308/,Москва,sale,flat,1,4,4,182.5,196145199.0,Арбат,Большой Афанасьевский переулок,30,Арбатская,
666,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291636518/,Москва,sale,flat,5,7,3,172.26,459470130.0,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park
667,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309492656/,Москва,sale,flat,15,16,1,37.8,8700000.0,Марьино, Маршала Голованова,4,Марьино,
668,Главстрой,developer,https://www.cian.ru/sale/flat/296872071/,Москва,sale,flat,26,30,3,67.1,21144150.0,Рязанский,Рязанский проспект,,Окская,balance
669,Центр-Инвест,developer,https://www.cian.ru/sale/flat/298334699/,Москва,sale,flat,26,35,3,83.5,36115799.0,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2
670,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/306845861/,Москва,sale,flat,15,51,3,76.0,58500000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
671,Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/309587372/,Москва,sale,flat,10,15,3,83.0,65000000.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
672,Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/309585966/,Москва,sale,flat,10,15,3,83.0,65000000.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
673,Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302460783/,Москва,sale,flat,13,30,4,127.5,75500000.0,Якиманка,Мытная ,40к1,Серпуховская,Sky House
674,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305726543/,Москва,sale,flat,5,6,3,106.4,93990000.0,Хамовники,Комсомольский проспект,9А,Парк Культуры,Николаевский дом
675,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308709755/,Москва,sale,flat,51,68,3,101.0,98990000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
676,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301655618/,Москва,sale,flat,2,11,2,74.13,100000000.0,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
677,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/304369940/,Москва,sale,flat,3,9,4,143.0,108900000.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
678,Стоун Бридж эстейт,real_estate_agent,https://www.cian.ru/sale/flat/307182856/,Москва,sale,flat,22,26,4,130.7,120000000.0,Кунцево,Рублевское шоссе,101,Молодёжная,Vander Park
679,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/292755587/,Москва,sale,flat,2,8,3,94.1,153000000.0,Пресненский,Малый Кисловский переулок,3,Арбатская,Рахманинов
680,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062363/,Москва,sale,flat,7,9,3,135.0,155000000.0,Замоскворечье, Бахрушина,13,Павелецкая,
681,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/294031984/,Москва,sale,flat,5,7,3,160.0,183000000.0,Якиманка, Большая Полянка,44,Полянка,Полянка/44
682,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307402392/,Москва,sale,flat,5,18,4,164.0,185000000.0,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
683,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300375030/,Москва,sale,flat,3,3,5,255.7,204560000.0,Хамовники, Волхонка,9С1,Кропоткинская,
684,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/296106303/,Москва,sale,flat,39,65,3,223.3,245181499.0,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
685,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/308640925/,Москва,sale,flat,7,10,4,273.4,370000000.0,Якиманка, Малая Полянка,2,Полянка,Онегин
686,Андрей Куролесов,realtor,https://www.cian.ru/sale/flat/309341085/,Москва,sale,flat,4,5,1,11.7,3750000.0,Восточное Измайлово,14-я Парковая ,4,Первомайская,
687,Константин Кудрявцев,realtor,https://www.cian.ru/sale/flat/307584440/,Москва,sale,flat,1,5,-1,15.1,5100000.0,Москворечье-Сабурово,Каширское шоссе,56К2,Москворечье,
688,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309338440/,Москва,sale,flat,1,17,1,35.8,8300000.0,Левобережный,Валдайский проезд,13АК1,Беломорская,
689,Колди,developer,https://www.cian.ru/sale/flat/302241697/,Москва,sale,flat,7,21,2,43.29,13530653.0,Нижегородский,,,Калитники,Н'айс Лофт ЖК
690,Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/309095096/,Москва,sale,flat,12,13,2,53.9,17500000.0,Савёлки,Зеленоград,531,Зеленоград — Крюково,
691,Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307400222/,Москва,sale,flat,2,6,2,58.0,18500000.0,Покровское-Стрешнево, Свободы,13/2,Тушинская,
692,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/307687672/,Москва,sale,flat,9,12,2,70.1,25750000.0,Богородское,Погонный проезд,3ак6,Белокаменная,Лосиный остров
693,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/306369703/,Москва,sale,flat,17,21,3,56.8,26000000.0,Хорошевский, Зорге,9Ак1,Зорге,Зорге 9
694,МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/308907514/,Москва,sale,flat,10,19,1,60.0,26900000.0,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение,
695,ID 15381315,realtor,https://www.cian.ru/sale/flat/309688391/,Москва,sale,flat,10,28,2,65.0,37700000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Полежаевская,Sydney City
696,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/307401138/,Москва,sale,flat,4,15,2,84.0,38000000.0,Беговой,Ленинградский проспект,35С2,Петровский Парк,Квартал апартаментов Искра-Парк
697,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296403571/,Москва,sale,flat,4,8,2,64.0,39900000.0,Тверской,Благовещенский переулок,5,Маяковская,
698,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308179072/,Москва,sale,flat,19,24,2,70.0,42000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
699,Центр-Инвест,developer,https://www.cian.ru/sale/flat/298576255/,Москва,sale,flat,2,22,3,67.7,42355790.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
700,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306509264/,Москва,sale,flat,2,39,2,69.0,48000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
701,Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/309581955/,Москва,sale,flat,3,21,3,72.0,49800000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
702,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309636974/,Москва,sale,flat,2,23,4,114.0,50000000.0,Хорошево-Мневники,проезд Проектируемый № 1074,,Терехово ,Остров
703,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/299341036/,Москва,sale,flat,10,34,1,64.4,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
704,Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/307875437/,Москва,sale,flat,3,9,3,84.5,52000000.0,Даниловский,проспект Лихачева,20,Технопарк,Nagatino i-Land
705,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298466120/,Москва,sale,flat,12,12,3,81.2,63900000.0,Сокол, Врубеля,4к1,Сокол,Врубеля 4
706,Аеон-Девелопмент,developer,https://www.cian.ru/sale/flat/301173869/,Москва,sale,flat,4,46,3,90.2,64747592.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
707,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/302645883/,Москва,sale,flat,13,14,4,130.0,68999999.0,Филевский парк,Филевский бульвар,24к3,Фили,Ривер-Хаус
708,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305915966/,Москва,sale,flat,10,13,2,73.5,73000000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
709,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309581145/,Москва,sale,flat,11,14,4,110.0,77000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
710,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308413458/,Москва,sale,flat,4,13,2,68.9,95000000.0,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
711,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303671209/,Москва,sale,flat,3,9,3,142.5,108900000.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
712,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303544834/,Москва,sale,flat,61,79,3,110.5,110000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
713,Webster,real_estate_agent,https://www.cian.ru/sale/flat/308303950/,Москва,sale,flat,3,9,2,91.6,119920000.0,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
714,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302447673/,Москва,sale,flat,4,8,4,160.0,135000000.0,Мещанский,Малый Сухаревский переулок,7,Трубная,
715,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305062342/,Москва,sale,flat,24,24,5,205.5,139000000.0,Можайский,Можайское шоссе,22к1,Рабочий посёлок,
716,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/295373248/,Москва,sale,flat,1,4,3,165.0,160000000.0,Арбат,Большой Афанасьевский переулок,30,Арбатская,
717,Webster,real_estate_agent,https://www.cian.ru/sale/flat/307272801/,Москва,sale,flat,4,6,-1,184.4,205000000.0,Тверской,Петровский бульвар,17/1,Пушкинская,
718,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308251423/,Москва,sale,flat,41,41,4,165.0,215000000.0,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
719,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308690852/,Москва,sale,flat,3,11,4,195.0,219000000.0,Басманный,Казарменный переулок,3,Курская,Дом на Покровском бульваре
720,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/288175070/,Москва,sale,flat,7,7,5,296.0,382500000.0,Тверской, Большая Дмитровка,7/5С2,Театральная,Советник
721,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309038392/,Москва,sale,flat,9,9,-1,514.0,885000000.0,Раменки,Мосфильмовская ,1к6,Ломоносовский проспект,Вишневый сад
722,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/302590856/,Москва,sale,flat,4,4,5,405.0,975744000.0,Таганский, Солянка,7,Китай-город,Дом с Атлантами
723,Метриум Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/307499687/,Москва,sale,flat,5,6,-1,423.0,1659388391.0,Хамовники,Бутиковский переулок,5,Парк Культуры,Бутиковский 5
724,BERI,real_estate_agent,https://www.cian.ru/sale/flat/308038194/,Москва,sale,flat,8,12,3,65.7,25990000.0,Раменки,Мичуринский проспект,54К2,Раменки,
725,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308063057/,Москва,sale,flat,24,49,1,43.9,27800000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
726,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/306945307/,Москва,sale,flat,21,24,1,40.8,29000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия
727,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303962688/,Москва,sale,flat,41,51,3,84.11,33000000.0,Пресненский,Шмитовский проезд,39,Шелепиха,Headliner
728,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/308460346/,Москва,sale,flat,3,6,3,80.0,39500000.0,Дорогомилово,Студенческая ,32,Студенческая,
729,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296565916/,Москва,sale,flat,4,8,2,65.0,39900000.0,Тверской,Благовещенский переулок,5,Маяковская,
730,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/303076729/,Москва,sale,flat,5,41,3,76.0,43000000.0,Раменки,1-й Сетуньский проезд,6С6,Кутузовская,Hide
731,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303447463/,Москва,sale,flat,28,39,3,71.0,47000000.0,Раменки, Лобачевского,120к1,Аминьевская,Крылья
732,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309552113/,Москва,sale,flat,3,24,3,72.2,49799000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
733,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/304228468/,Москва,sale,flat,17,32,3,69.0,52000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
734,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303790039/,Москва,sale,flat,23,30,3,98.5,52900000.0,Можайский, Петра Алексеева,14,Давыдково,КутузовGRAD II
735,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/306074201/,Москва,sale,flat,40,47,3,89.0,57036000.0,Бутырский,Новодмитровская ,2к7,Дмитровская,Савеловский Сити
736,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308888847/,Москва,sale,flat,4,21,-1,54.0,59000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
737,Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/304897338/,Москва,sale,flat,8,12,3,100.0,62500000.0,Аэропорт,Ленинградский проспект,36с30,Динамо,ВТБ Арена парк
738,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/308561617/,Москва,sale,flat,11,12,3,108.2,64000000.0,Аэропорт,Ленинградский проспект,36с30,Динамо,ВТБ Арена парк
739,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308909284/,Москва,sale,flat,11,12,4,120.0,70000000.0,Аэропорт,Ленинградский проспект,36с36,Динамо,ВТБ Арена парк
740,Optima Development,developer,https://www.cian.ru/sale/flat/301041666/,Москва,sale,flat,30,41,3,84.4,70143977.0,Хорошевский,Ленинградский проспект,37/2,Петровский Парк,Прайм Парк
741,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309559432/,Москва,sale,flat,28,41,2,72.8,75000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
742,PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303331404/,Москва,sale,flat,3,28,4,125.0,74990000.0,Якиманка,Мытная ,40к4,Октябрьская,Sky House
743,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/306945306/,Москва,sale,flat,19,24,4,108.0,77000000.0,Хорошевский,Хорошевское шоссе,25С3,Полежаевская,Династия
744,PANDA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303149151/,Москва,sale,flat,9,10,2,90.0,79990000.0,Хамовники,Ружейный переулок,3,Смоленская,Смоленская Застава
745,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/304171712/,Москва,sale,flat,16,20,2,90.0,94500000.0,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
746,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307152440/,Москва,sale,flat,3,9,4,143.0,108900000.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
747,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302736792/,Москва,sale,flat,5,12,4,155.2,117160000.0,Раменки, Сергея Бондарчука,6,Мичуринский проспект,Река
748,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308336736/,Москва,sale,flat,22,26,4,130.7,120000000.0,Кунцево,Рублевское шоссе,101,Молодёжная,Vander Park
749,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/304244566/,Москва,sale,flat,7,20,4,285.0,350000000.0,Пресненский,Средний Тишинский переулок,5,Белорусская,Дом на Тишинке
750,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297855440/,Москва,sale,flat,7,7,5,265.0,382500000.0,Тверской, Большая Дмитровка,7/5С2,Театральная,Советник
751,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299165368/,Москва,sale,flat,3,7,-1,252.0,396000000.0,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо
752,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302552275/,Москва,sale,flat,5,6,5,260.4,399000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
753,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303472680/,Москва,sale,flat,4,4,-1,485.0,686508199.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко
754,Аркадий Костанян,realtor,https://www.cian.ru/sale/flat/308855240/,Москва,sale,flat,6,17,2,54.0,24000000.0,Крылатское, Крылатские Холмы,27К2,Крылатское,
755,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307098964/,Москва,sale,flat,7,48,1,55.5,33000000.0,Ростокино, Вильгельма Пика,3С1,Ботанический сад,Режиссёр
756,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304965476/,Москва,sale,flat,22,22,2,55.7,39500000.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
757,Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/304705680/,Москва,sale,flat,6,9,2,66.0,42400000.0,Даниловский,проспект Лихачева,20,Технопарк,Nagatino i-Land
758,OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/297422422/,Москва,sale,flat,3,5,2,44.27,47900000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,
759,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/301948885/,Москва,sale,flat,12,51,4,108.2,54000000.0,Пресненский,Шмитовский проезд,39,Шелепиха,
760,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303688290/,Москва,sale,flat,9,20,2,67.0,57000000.0,Пресненский,Мантулинская ,9к4,Москва-Сити,City Park
761,BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/306666399/,Москва,sale,flat,7,21,4,126.3,57000000.0,Раменки, Лобачевского,114с1,Аминьевская,Событие
762,СТ Тауэрс,developer,https://www.cian.ru/sale/flat/302833885/,Москва,sale,flat,42,66,2,67.4,60660000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
763,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304965475/,Москва,sale,flat,22,22,3,106.0,68900000.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
764,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294203461/,Москва,sale,flat,2,9,2,60.0,93000000.0,Таганский,Большой Николоворобинский переулок,9к1,Китай-город,Дом NV/9
